Id,pr_score
982901,4.22E-05
9472187,7.31E-06
4867650,2.96E-05
615053,7.38E-06
3850280,4.45E-06
1774947,4.45E-06
2346215,2.96E-05
2513873,5.55E-06
1470034,2.96E-05
88411,8.89E-06
2102741,4.45E-06
6247260,4.45E-06
4864063,9.07E-06
2929539,4.22E-05
1691769,2.02E-05
2679,4.45E-06
7322753,4.45E-06
6114275,4.45E-06
1154380,3.23E-05
2651076,5.48E-05
7321160,4.45E-06
6263234,4.45E-06
1091612,4.45E-06
1650716,6.49E-06
9417732,4.45E-06
1249098,1.20E-05
1037948,1.50E-05
9144410,4.64E-05
1748664,7.73E-06
7493261,4.45E-06
1038326,7.32E-05
6850443,8.14E-06
586621,2.14E-05
